run_id,run,site,instr,mooring_type,instr_model,instr_id,freq,latitude,longitude,water_depth,instr_elevation,instr_depth,timestamp_start_utc,timestamp_end_utc,comment
,,,transmitter,stationary,VR2Tx,A69-1601-62083,,44.4708,-84.70602,9.2964,4.572,4.7244,2018-06-14T16:59:00Z,2018-06-15T16:30:00Z,
,,,receiver,stationary,VR2Tx,482085,,44.46994,-84.70633,10.0584,3.9624,6.096,2018-06-14T17:13:00Z,2018-06-15T13:50:00Z,
,,,transmitter,stationary,VR2Tx,A69-1601-62085,,44.46994,-84.70633,10.0584,3.9624,6.096,2018-06-14T17:13:00Z,2018-06-15T13:50:00Z,
,,,receiver,stationary,HR2,461072,,44.46976,-84.70488,24.0792,4.8768,19.2024,2018-06-14T17:26:00Z,2018-06-15T16:22:00Z,
,,,transmitter,stationary,HR2,H170-1802-62072,,44.46976,-84.70488,24.0792,4.8768,19.2024,2018-06-14T17:26:00Z,2018-06-15T16:22:00Z,
,,,receiver,stationary,VR2Tx,482084,,44.46976,-84.70488,24.0792,4.2672,19.812,2018-06-14T17:26:00Z,2018-06-15T16:22:00Z,
,,,transmitter,stationary,VR2Tx,A69-1601-62084,,44.46976,-84.70488,24.0792,4.2672,19.812,2018-06-14T17:26:00Z,2018-06-15T16:22:00Z,
,,,transmitter,stationary,V8-4H,A69-1601-57059,,44.46738,-84.70632,9.144,4.572,4.572,2018-06-14T20:04:00Z,2018-06-15T13:36:00Z,added to existing mooring at T4
,,,receiver,glider,VR2Tx,480030,,,,,,,2018-06-14T22:06:00Z,2018-06-14T23:00:00Z,robofish navigated to T4
,,,transmitter,glider,VR2Tx,A69-1601-62030,,,,,,,2018-06-14T22:06:00Z,2018-06-14T23:00:00Z,robofish navigated to T4
,,,transmitter,glider,V9180,H170-1802-102,,,,,,,2018-06-14T22:06:00Z,2018-06-14T23:00:00Z,robofish navigated to T4
,,,receiver,glider,VR2Tx,480030,,,,,,,2018-06-14T23:20:00Z,2018-06-15T01:13:00Z,robofish navigated to T3
,,,transmitter,glider,VR2Tx,A69-1601-62030,,,,,,,2018-06-14T23:20:00Z,2018-06-15T01:13:00Z,robofish navigated to T3
,,,transmitter,glider,V9180,H170-1802-102,,,,,,,2018-06-14T23:20:00Z,2018-06-15T01:13:00Z,robofish navigated to T3
,,,transmitter,stationary,V8-4H,A69-1601-57059,,44.47083,-84.70586,11.5824,4.572,7.0104,2018-06-15T13:40:00Z,2018-06-15T16:32:00Z,
,,,receiver,stationary,VR2Tx,480026,,44.47083,-84.70586,11.5824,4.572,7.0104,2018-06-15T13:40:00Z,2018-06-15T16:32:00Z,
,,,transmitter,stationary,VR2Tx,A69-1601-62026,,44.47083,-84.70586,11.5824,4.572,7.0104,2018-06-15T13:40:00Z,2018-06-15T16:32:00Z,
,,,transmitter,stationary,V13,A69-1601-52218,,44.4706,-84.70533,20.7264,4.2672,16.4592,2018-06-15T13:49:00Z,2018-06-15T16:35:00Z,
,,,transmitter,stationary,V9180,H170-1802-101,,44.4706,-84.70533,20.7264,4.2672,16.4592,2018-06-15T13:49:00Z,2018-06-15T16:35:00Z,
,,,receiver,stationary,VR2Tx,482085,,44.47056,-84.70612,15.5448,3.9624,11.5824,2018-06-15T13:58:00Z,2018-06-15T16:24:00Z,
,,,transmitter,stationary,VR2Tx,A69-1601-62085,,44.47056,-84.70612,15.5448,3.9624,11.5824,2018-06-15T13:58:00Z,2018-06-15T16:24:00Z,
,,,receiver,glider,VR2Tx,480030,,,,,,,2018-06-15T14:06:00Z,2018-06-15T15:09:00Z,nav to T3
,,,transmitter,glider,VR2Tx,A69-1601-62030,,,,,,,2018-06-15T14:06:00Z,2018-06-15T15:09:00Z,nav to T3
,,,transmitter,glider,V9180,H170-1802-102,,,,,,,2018-06-15T14:06:00Z,2018-06-15T15:09:00Z,nav to T3
