"Plot Title: Glider_20668678"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20668678, SEN S/N: 20668678)","Coupler Detached (LGR S/N: 20668678)","Coupler Attached (LGR S/N: 20668678)","Host Connected (LGR S/N: 20668678)","Stopped (LGR S/N: 20668678)","End Of File (LGR S/N: 20668678)"
1,09/13/21 12:00:00 PM,22.920,Logged,,,,
2,09/13/21 12:15:00 PM,22.896,,,,,
3,09/13/21 12:30:00 PM,22.872,,,,,
4,09/13/21 12:45:00 PM,22.824,,,,,
5,09/13/21 01:00:00 PM,22.776,,,,,
6,09/13/21 01:15:00 PM,22.729,,,,,
7,09/13/21 01:30:00 PM,22.681,,,,,
8,09/13/21 01:45:00 PM,22.657,,,,,
9,09/13/21 02:00:00 PM,22.609,,,,,
10,09/13/21 02:15:00 PM,22.561,,,,,
11,09/13/21 02:30:00 PM,22.513,,,,,
12,09/13/21 02:45:00 PM,22.489,,,,,
13,09/13/21 03:00:00 PM,22.441,,,,,
14,09/13/21 03:15:00 PM,22.417,,,,,
15,09/13/21 03:30:00 PM,22.369,,,,,
16,09/13/21 03:45:00 PM,22.321,,,,,
17,09/13/21 04:00:00 PM,22.298,,,,,
18,09/13/21 04:15:00 PM,22.274,,,,,
19,09/13/21 04:30:00 PM,22.226,,,,,
20,09/13/21 04:45:00 PM,22.202,,,,,
21,09/13/21 05:00:00 PM,22.154,,,,,
22,09/13/21 05:15:00 PM,22.130,,,,,
23,09/13/21 05:30:00 PM,22.106,,,,,
24,09/13/21 05:45:00 PM,22.082,,,,,
25,09/13/21 06:00:00 PM,22.058,,,,,
26,09/13/21 06:15:00 PM,22.011,,,,,
27,09/13/21 06:30:00 PM,22.011,,,,,
28,09/13/21 06:45:00 PM,21.963,,,,,
29,09/13/21 07:00:00 PM,21.963,,,,,
30,09/13/21 07:15:00 PM,21.939,,,,,
31,09/13/21 07:30:00 PM,21.915,,,,,
32,09/13/21 07:45:00 PM,21.891,,,,,
33,09/13/21 08:00:00 PM,21.867,,,,,
34,09/13/21 08:15:00 PM,21.843,,,,,
35,09/13/21 08:30:00 PM,21.819,,,,,
36,09/13/21 08:45:00 PM,21.795,,,,,
37,09/13/21 09:00:00 PM,21.772,,,,,
38,09/13/21 09:15:00 PM,21.748,,,,,
39,09/13/21 09:30:00 PM,21.724,,,,,
40,09/13/21 09:45:00 PM,21.676,,,,,
41,09/13/21 10:00:00 PM,21.652,,,,,
42,09/13/21 10:15:00 PM,21.628,,,,,
43,09/13/21 10:30:00 PM,21.604,,,,,
44,09/13/21 10:45:00 PM,21.581,,,,,
45,09/13/21 11:00:00 PM,21.533,,,,,
46,09/13/21 11:15:00 PM,21.533,,,,,
47,09/13/21 11:30:00 PM,21.509,,,,,
48,09/13/21 11:45:00 PM,21.509,,,,,
49,09/14/21 12:00:00 AM,21.509,,,,,
50,09/14/21 12:15:00 AM,21.509,,,,,
51,09/14/21 12:30:00 AM,21.485,,,,,
52,09/14/21 12:45:00 AM,21.485,,,,,
53,09/14/21 01:00:00 AM,21.485,,,,,
54,09/14/21 01:15:00 AM,21.485,,,,,
55,09/14/21 01:30:00 AM,21.485,,,,,
56,09/14/21 01:45:00 AM,21.509,,,,,
57,09/14/21 02:00:00 AM,21.509,,,,,
58,09/14/21 02:15:00 AM,21.509,,,,,
59,09/14/21 02:30:00 AM,21.509,,,,,
60,09/14/21 02:45:00 AM,21.509,,,,,
61,09/14/21 03:00:00 AM,21.509,,,,,
62,09/14/21 03:15:00 AM,21.509,,,,,
63,09/14/21 03:30:00 AM,21.533,,,,,
64,09/14/21 03:45:00 AM,21.533,,,,,
65,09/14/21 04:00:00 AM,21.533,,,,,
66,09/14/21 04:15:00 AM,21.533,,,,,
67,09/14/21 04:30:00 AM,21.557,,,,,
68,09/14/21 04:45:00 AM,21.557,,,,,
69,09/14/21 05:00:00 AM,21.557,,,,,
70,09/14/21 05:15:00 AM,21.557,,,,,
71,09/14/21 05:30:00 AM,21.581,,,,,
72,09/14/21 05:45:00 AM,21.581,,,,,
73,09/14/21 06:00:00 AM,21.581,,,,,
74,09/14/21 06:15:00 AM,21.581,,,,,
75,09/14/21 06:30:00 AM,21.581,,,,,
76,09/14/21 06:45:00 AM,21.604,,,,,
77,09/14/21 07:00:00 AM,21.604,,,,,
78,09/14/21 07:15:00 AM,21.604,,,,,
79,09/14/21 07:30:00 AM,21.604,,,,,
80,09/14/21 07:45:00 AM,21.604,,,,,
81,09/14/21 08:00:00 AM,21.604,,,,,
82,09/14/21 08:15:00 AM,21.604,,,,,
83,09/14/21 08:30:00 AM,21.604,,,,,
84,09/14/21 08:45:00 AM,21.604,,,,,
85,09/14/21 09:00:00 AM,21.628,,,,,
86,09/14/21 09:15:00 AM,21.628,,,,,
87,09/14/21 09:30:00 AM,21.628,,,,,
88,09/14/21 09:45:00 AM,21.628,,,,,
89,09/14/21 10:00:00 AM,21.628,,,,,
90,09/14/21 10:15:00 AM,21.628,,,,,
91,09/14/21 10:30:00 AM,21.628,,,,,
92,09/14/21 10:45:00 AM,21.628,,,,,
93,09/14/21 11:00:00 AM,21.628,,,,,
94,09/14/21 11:15:00 AM,21.652,,,,,
95,09/14/21 11:30:00 AM,21.676,,,,,
96,09/14/21 11:45:00 AM,21.700,,,,,
97,09/14/21 12:00:00 PM,21.724,,,,,
98,09/14/21 12:15:00 PM,21.772,,,,,
99,09/14/21 12:30:00 PM,21.819,,,,,
100,09/14/21 12:45:00 PM,21.867,,,,,
101,09/14/21 01:00:00 PM,21.939,,,,,
102,09/14/21 01:15:00 PM,22.034,,,,,
103,09/14/21 01:30:00 PM,22.154,,,,,
104,09/14/21 01:45:00 PM,22.274,,,,,
105,09/14/21 02:00:00 PM,22.417,,,,,
106,09/14/21 02:15:00 PM,22.513,,,,,
107,09/14/21 02:30:00 PM,22.609,,,,,
108,09/14/21 02:45:00 PM,22.681,,,,,
109,09/14/21 03:00:00 PM,22.776,,,,,
110,09/14/21 03:15:00 PM,22.848,,,,,
111,09/14/21 03:30:00 PM,22.920,,,,,
112,09/14/21 03:45:00 PM,22.968,,,,,
113,09/14/21 04:00:00 PM,23.016,,,,,
114,09/14/21 04:15:00 PM,23.064,,,,,
115,09/14/21 04:30:00 PM,23.112,,,,,
116,09/14/21 04:45:00 PM,23.160,,,,,
117,09/14/21 05:00:00 PM,23.160,,,,,
118,09/14/21 05:15:00 PM,23.160,,,,,
