"Plot Title: Glider_20054600"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20054600, SEN S/N: 20054600)","Coupler Detached (LGR S/N: 20054600)","Coupler Attached (LGR S/N: 20054600)","Host Connected (LGR S/N: 20054600)","Stopped (LGR S/N: 20054600)","End Of File (LGR S/N: 20054600)"
1,09/13/21 12:00:00 PM,22.537,Logged,,,,
2,09/13/21 12:15:00 PM,22.513,,,,,
3,09/13/21 12:30:00 PM,22.489,,,,,
4,09/13/21 12:45:00 PM,22.441,,,,,
5,09/13/21 01:00:00 PM,22.417,,,,,
6,09/13/21 01:15:00 PM,22.393,,,,,
7,09/13/21 01:30:00 PM,22.369,,,,,
8,09/13/21 01:45:00 PM,22.345,,,,,
9,09/13/21 02:00:00 PM,22.321,,,,,
10,09/13/21 02:15:00 PM,22.298,,,,,
11,09/13/21 02:30:00 PM,22.274,,,,,
12,09/13/21 02:45:00 PM,22.250,,,,,
13,09/13/21 03:00:00 PM,22.226,,,,,
14,09/13/21 03:15:00 PM,22.202,,,,,
15,09/13/21 03:30:00 PM,22.154,,,,,
16,09/13/21 03:45:00 PM,22.130,,,,,
17,09/13/21 04:00:00 PM,22.106,,,,,
18,09/13/21 04:15:00 PM,22.082,,,,,
19,09/13/21 04:30:00 PM,22.058,,,,,
20,09/13/21 04:45:00 PM,22.034,,,,,
21,09/13/21 05:00:00 PM,22.011,,,,,
22,09/13/21 05:15:00 PM,21.987,,,,,
23,09/13/21 05:30:00 PM,21.963,,,,,
24,09/13/21 05:45:00 PM,21.939,,,,,
25,09/13/21 06:00:00 PM,21.915,,,,,
26,09/13/21 06:15:00 PM,21.891,,,,,
27,09/13/21 06:30:00 PM,21.867,,,,,
28,09/13/21 06:45:00 PM,21.867,,,,,
29,09/13/21 07:00:00 PM,21.843,,,,,
30,09/13/21 07:15:00 PM,21.819,,,,,
31,09/13/21 07:30:00 PM,21.819,,,,,
32,09/13/21 07:45:00 PM,21.795,,,,,
33,09/13/21 08:00:00 PM,21.772,,,,,
34,09/13/21 08:15:00 PM,21.748,,,,,
35,09/13/21 08:30:00 PM,21.724,,,,,
36,09/13/21 08:45:00 PM,21.700,,,,,
37,09/13/21 09:00:00 PM,21.676,,,,,
38,09/13/21 09:15:00 PM,21.628,,,,,
39,09/13/21 09:30:00 PM,21.604,,,,,
40,09/13/21 09:45:00 PM,21.581,,,,,
41,09/13/21 10:00:00 PM,21.557,,,,,
42,09/13/21 10:15:00 PM,21.533,,,,,
43,09/13/21 10:30:00 PM,21.485,,,,,
44,09/13/21 10:45:00 PM,21.461,,,,,
45,09/13/21 11:00:00 PM,21.437,,,,,
46,09/13/21 11:15:00 PM,21.413,,,,,
47,09/13/21 11:30:00 PM,21.413,,,,,
48,09/13/21 11:45:00 PM,21.413,,,,,
49,09/14/21 12:00:00 AM,21.413,,,,,
50,09/14/21 12:15:00 AM,21.413,,,,,
51,09/14/21 12:30:00 AM,21.413,,,,,
52,09/14/21 12:45:00 AM,21.413,,,,,
